id,title,arquivo,year,venue_type,idioma,tipo_artigo_detectado,qtd_temas_ementa,max_percentual_match,sobreposicao_tematica_qtd,num_paginas,num_referencias,tamanho_amostra,method_count,stats_count,metrics_count,has_abstract,has_method,has_results,has_limitations_or_threats,has_data_or_code_availability,replicability_score,method_quality_score,pedagogical_fit_score,practicality_score,accessibility_score,bibliographic_quality_score,IQAP,categoria_IQAP,evidencia_curta
29,Experimentation in Software Engineering,Experimentation in Software Engineering.pdf,,journal,EN,empirico,11.0,60.0,6.0,11.0,116.0,74.0,4,3,1,True,True,False,False,False,0.75,0.61,0.86,0.7,0.855,0.6,0.738,bom,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Experimentation in Software Engineering.pdf'
21,An External Replication on the Effects of Test-driven,An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf,,conference,EN,empirico,12.0,60.0,5.0,10.0,45.0,36.0,5,6,0,True,True,True,False,False,0.65,0.78,0.86,0.7,0.55,0.712,0.732,bom,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf'
20,An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability,An Empirical Validation of Cognitive Complexity as a Measure.pdf,2020.0,conference,EN,empirico,18.0,60.0,6.0,12.0,44.0,41.0,1,3,3,True,True,False,False,False,0.75,0.418,0.86,0.7,0.855,0.861,0.725,bom,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\An Empirical Validation of Cognitive Complexity as a Measure.pdf'
66,What's DAT? Three Case Studies of Measuring Software Development Productivity at Meta With Diff Authoring Time,Whats DAT Three Case Studies of Measuring Software.pdf,2026.0,preprint,EN,empirico,7.0,60.0,1.0,12.0,63.0,20.0,2,4,3,True,True,False,False,False,0.75,0.542,0.74,0.7,0.82,0.75,0.705,bom,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Whats DAT Three Case Studies of Measuring Software.pdf'
38,Metrics for Evaluating and Improving Transparency in Software Engineering: An Empirical Study and Improvement Model,Metrics for Evaluating and Improving Transparency in Software Engineering An Empirical Study and Improvement Model.pdf,2024.0,,EN,empirico,9.0,75.0,10.0,35.0,145.0,226.0,5,6,0,True,True,False,False,False,0.65,0.7,0.912,0.55,0.487,0.735,0.703,bom,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Metrics for Evaluating and Improving Transparency in Software Engineering An Empirical Study and Improvement Model.pdf'
12,A Large-Scale Empirical Study on Self-Admitted Technical Debt,A large-scale empirical study on self-admitted technical debt.pdf,2016.0,conference,EN,empirico,14.0,50.0,0.0,12.0,41.0,159.0,3,4,2,True,True,False,False,False,0.75,0.613,0.525,0.7,0.82,0.812,0.672,bom,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\A large-scale empirical study on self-admitted technical debt.pdf'
59,The effects of change decomposition on code review-a controlled experiment,The effects of change decomposition on code review --a controlled experiment.pdf,2019.0,,EN,empirico,8.0,60.0,2.0,25.0,132.0,28.0,2,4,0,True,True,False,False,False,0.65,0.553,0.77,0.55,0.82,0.696,0.667,bom,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\The effects of change decomposition on code review --a controlled experiment.pdf'
45,https://doi.org/10.1007/s10664-024-10504-1,Recommendations for analysing and meta-analysing small sample size software engineering experiments.pdf,2024.0,journal,EN,empirico,18.0,80.0,1.0,46.0,114.0,9.0,3,6,0,False,True,False,False,False,0.65,0.625,0.81,0.55,0.163,0.985,0.655,bom,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Recommendations for analysing and meta-analysing small sample size software engineering experiments.pdf'
49,Microsoft Word - Software Process Measurement and Related Challenges in Agile Software Developmen - A Multiple Case Study (Latest),Software Process Measurement and Related Challenges in Agile Software Development A Multiple Case Study.pdf,2020.0,,EN,empirico,6.0,60.0,5.0,16.0,75.0,0.0,4,1,1,True,True,False,False,False,0.6,0.39,0.86,0.65,0.925,0.504,0.653,bom,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Software Process Measurement and Related Challenges in Agile Software Development A Multiple Case Study.pdf'
46,Empir Software Eng (2017) 22:579–630,Robust Statistical Methods for Empirical Software Engineering.pdf,2017.0,journal,EN,empirico,18.0,60.0,7.0,53.0,200.0,38.0,2,13,0,False,True,False,False,False,0.65,0.602,0.86,0.55,0.023,0.931,0.643,bom,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Robust Statistical Methods for Empirical Software Engineering.pdf'
