"artigo_id","artigo_titulo","artigo_arquivo","ementa_id","ementa_topico","score_relevancia","total_temas","percentual_match"
"1","A Review and Analysis of Software Complexity Metrics in Structural Testing","A Review and Analysis of Software Complexity Metrics in Structural Testing.pdf","13","Medições e indicadores","3","9","33.3"
"2","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","2","Qualidade de software","3","6","50.0"
"2","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","19","Fundamentos e práticas de TDD","3","12","25.0"
"1","A Review and Analysis of Software Complexity Metrics in Structural Testing","A Review and Analysis of Software Complexity Metrics in Structural Testing.pdf","1","Processo de desenvolvimento de software","2","6","33.3"
"1","A Review and Analysis of Software Complexity Metrics in Structural Testing","A Review and Analysis of Software Complexity Metrics in Structural Testing.pdf","2","Qualidade de software","2","6","33.3"
"1","A Review and Analysis of Software Complexity Metrics in Structural Testing","A Review and Analysis of Software Complexity Metrics in Structural Testing.pdf","4","Testes e o processo de desenvolvimento de software","2","10","20.0"
"2","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","1","Processo de desenvolvimento de software","2","6","33.3"
"2","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","3","Motivação","2","6","33.3"
"2","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","4","Testes e o processo de desenvolvimento de software","2","10","20.0"
"2","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","5","Conceitos básicos e tipos de teste","2","11","18.2"
"2","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","6","Verificação e validação","2","8","25.0"
"2","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","7","Níveis de teste","2","9","22.2"
"2","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","8","Introdução a técnicas de teste","2","7","28.6"
"2","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","9","Fundamentos de técnicas de teste","2","7","28.6"
"2","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","10","Critérios de cobertura","2","9","22.2"
"2","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","11","Tipos de teste: unidade, integração, regressão","2","9","22.2"
"2","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","12","Rastreamento de defeitos","2","9","22.2"
"3","Process metrics for software defect prediction in object‐oriented programs","Process metrics for software defectprediction in object-oriented programs.pdf","12","Rastreamento de defeitos","2","9","22.2"
"4","Source Code Metrics for Software Defects Prediction","Source Code Metrics for Software Defects Prediction.pdf","2","Qualidade de software","2","6","33.3"
"4","Source Code Metrics for Software Defects Prediction","Source Code Metrics for Software Defects Prediction.pdf","12","Rastreamento de defeitos","2","9","22.2"
"4","Source Code Metrics for Software Defects Prediction","Source Code Metrics for Software Defects Prediction.pdf","13","Medições e indicadores","2","9","22.2"
"5","Unveiling Hybrid Cyclomatic Complexity: A Comprehensive Analysis and Evaluation as an Integral Feature in Automatic Defect Prediction Models","Unveiling Hybrid Cyclomatic Complexity A Comprehensive Analysis and Evaluation as an Integral Feature in Automatic Defect Prediction Models.pdf","2","Qualidade de software","2","6","33.3"
"5","Unveiling Hybrid Cyclomatic Complexity: A Comprehensive Analysis and Evaluation as an Integral Feature in Automatic Defect Prediction Models","Unveiling Hybrid Cyclomatic Complexity A Comprehensive Analysis and Evaluation as an Integral Feature in Automatic Defect Prediction Models.pdf","12","Rastreamento de defeitos","2","9","22.2"
"5","Unveiling Hybrid Cyclomatic Complexity: A Comprehensive Analysis and Evaluation as an Integral Feature in Automatic Defect Prediction Models","Unveiling Hybrid Cyclomatic Complexity A Comprehensive Analysis and Evaluation as an Integral Feature in Automatic Defect Prediction Models.pdf","13","Medições e indicadores","2","9","22.2"
