"id","modulo","topico","descricao","data","aula_relacionada"
"1","Unidade 1 - Revisão e nivelamento","Processo de desenvolvimento de software","Revisão e nivelamento sobre o processo de desenvolvimento.","",""
"2","Unidade 1 - Revisão e nivelamento","Qualidade de software","Conceitos de qualidade de software.","",""
"3","Unidade 2 - Fundamentos de teste de software","Motivação","Por que testar software.","",""
"4","Unidade 2 - Fundamentos de teste de software","Testes e o processo de desenvolvimento de software","Relação entre testes e o ciclo de vida.","",""
"5","Unidade 2 - Fundamentos de teste de software","Conceitos básicos e tipos de teste","Definições fundamentais e classificação de testes.","",""
"6","Unidade 2 - Fundamentos de teste de software","Verificação e validação","Diferenças e aplicações de V&V.","",""
"7","Unidade 2 - Fundamentos de teste de software","Níveis de teste","Teste unitário, integração, sistema, aceitação.","",""
"8","Unidade 3 - Técnicas de teste de software","Introdução a técnicas de teste","Visão geral das técnicas.","",""
"9","Unidade 3 - Técnicas de teste de software","Fundamentos de técnicas de teste","Bases teóricas das técnicas.","",""
"10","Unidade 3 - Técnicas de teste de software","Critérios de cobertura","Cobertura de código, decisão, condição.","",""
"11","Unidade 3 - Técnicas de teste de software","Tipos de teste: unidade, integração, regressão","Aplicação prática dos tipos de teste.","",""
"12","Unidade 3 - Técnicas de teste de software","Rastreamento de defeitos","Ferramentas e processos de bug tracking.","",""
"13","Unidade 4 - Gerenciamento do processo de testes","Medições e indicadores","Métricas de qualidade e progresso de testes.","",""
"14","Unidade 4 - Gerenciamento do processo de testes","Estimativas","Estimativa de esforço de teste.","",""
"15","Unidade 4 - Gerenciamento do processo de testes","Casos de testes","Elaboração e documentação de casos de teste.","",""
"16","Unidade 4 - Gerenciamento do processo de testes","Planos de testes","Estruturação de planos de teste.","",""
"17","Unidade 5 - Refatoração","Conceito e motivação de refatoração","O que é refatoração e por que aplicar.","",""
"18","Unidade 5 - Refatoração","Catálogo de refatorações","Refatorações comuns e padrões.","",""
"19","Unidade 6 - Desenvolvimento dirigido por testes","Fundamentos e práticas de TDD","Test-Driven Development: ciclo red-green-refactor.","",""
"20","Unidade 6 - Desenvolvimento dirigido por testes","TDD através de exemplos","Aplicação prática de TDD.","",""
