"artigo_id","artigo_titulo","artigo_arquivo","ementa_id","ementa_topico","score_relevancia","total_temas","percentual_match"
"45","https://doi.org/10.1007/s10664-024-10504-1","Recommendations for analysing and meta-analysing small sample size software engineering experiments.pdf","15","Planejamento de experimento","4","5","80.0"
"45","https://doi.org/10.1007/s10664-024-10504-1","Recommendations for analysing and meta-analysing small sample size software engineering experiments.pdf","16","Execução de experimento","4","5","80.0"
"45","https://doi.org/10.1007/s10664-024-10504-1","Recommendations for analysing and meta-analysing small sample size software engineering experiments.pdf","17","Análise de resultados de experimentos","4","6","66.7"
"62","Towards Improving Experimentation in Software Engineering","Towards Improving Experimentation in Software Engineering.pdf","15","Planejamento de experimento","4","5","80.0"
"62","Towards Improving Experimentation in Software Engineering","Towards Improving Experimentation in Software Engineering.pdf","16","Execução de experimento","4","5","80.0"
"62","Towards Improving Experimentation in Software Engineering","Towards Improving Experimentation in Software Engineering.pdf","17","Análise de resultados de experimentos","4","6","66.7"
"7","A Survey of Controlled Experiments","A Survey of Controlled Experiments in Software Engineering..pdf","15","Planejamento de experimento","4","5","80.0"
"7","A Survey of Controlled Experiments","A Survey of Controlled Experiments in Software Engineering..pdf","16","Execução de experimento","4","5","80.0"
"1","A Conceptual Model to Support Teaching of Software Engineering Controlled (Quasi-)Experiments","A Conceptual Model to Support Teaching of SoftwareEngineering Controlled (Quasi-)Experiments.pdf","15","Planejamento de experimento","3","5","60.0"
"1","A Conceptual Model to Support Teaching of Software Engineering Controlled (Quasi-)Experiments","A Conceptual Model to Support Teaching of SoftwareEngineering Controlled (Quasi-)Experiments.pdf","16","Execução de experimento","3","5","60.0"
"10","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in","A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf","4","Métricas de processo","3","5","60.0"
"10","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in","A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf","14","Processo de experimentação","3","4","75.0"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","3","Métricas de produto","3","5","60.0"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","4","Métricas de processo","3","5","60.0"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","5","Métricas de projeto","3","5","60.0"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","7","Identificação, organização e validação de métricas de software","3","7","42.9"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","17","Análise de resultados de experimentos","3","6","50.0"
"21","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","15","Planejamento de experimento","3","5","60.0"
"21","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","16","Execução de experimento","3","5","60.0"
"21","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","17","Análise de resultados de experimentos","3","6","50.0"
"24","Application of Statistical Methods in Software Engineering: Theory and Practice","Application of Statistical Methods in Software Engineering Theory and Practice.pdf","17","Análise de resultados de experimentos","3","6","50.0"
"29","Experimentation in Software Engineering","Experimentation in Software Engineering.pdf","15","Planejamento de experimento","3","5","60.0"
"29","Experimentation in Software Engineering","Experimentation in Software Engineering.pdf","16","Execução de experimento","3","5","60.0"
"34","Undertaking systematic reviews","Kitchenham, B. Guidelines for performing Systematic Literature Reviews in software engineering. EBSE Technical Report EBSE-2007-01.pdf","2","Nivelamento e revisão de fundamentos de engenharia de software","3","6","50.0"
"38","Metrics for Evaluating and Improving Transparency in Software Engineering: An Empirical Study and Improvement Model","Metrics for Evaluating and Improving Transparency in Software Engineering An Empirical Study and Improvement Model.pdf","14","Processo de experimentação","3","4","75.0"
"38","Metrics for Evaluating and Improving Transparency in Software Engineering: An Empirical Study and Improvement Model","Metrics for Evaluating and Improving Transparency in Software Engineering An Empirical Study and Improvement Model.pdf","15","Planejamento de experimento","3","5","60.0"
"38","Metrics for Evaluating and Improving Transparency in Software Engineering: An Empirical Study and Improvement Model","Metrics for Evaluating and Improving Transparency in Software Engineering An Empirical Study and Improvement Model.pdf","16","Execução de experimento","3","5","60.0"
"45","https://doi.org/10.1007/s10664-024-10504-1","Recommendations for analysing and meta-analysing small sample size software engineering experiments.pdf","13","Estratégias de experimentação","3","4","75.0"
"45","https://doi.org/10.1007/s10664-024-10504-1","Recommendations for analysing and meta-analysing small sample size software engineering experiments.pdf","14","Processo de experimentação","3","4","75.0"
"45","https://doi.org/10.1007/s10664-024-10504-1","Recommendations for analysing and meta-analysing small sample size software engineering experiments.pdf","18","Apresentação de resultados experimentais","3","6","50.0"
"45","https://doi.org/10.1007/s10664-024-10504-1","Recommendations for analysing and meta-analysing small sample size software engineering experiments.pdf","19","Provas e atividades avaliativas","3","6","50.0"
"46","Empir Software Eng (2017) 22:579–630","Robust Statistical Methods for Empirical Software Engineering.pdf","2","Nivelamento e revisão de fundamentos de engenharia de software","3","6","50.0"
"46","Empir Software Eng (2017) 22:579–630","Robust Statistical Methods for Empirical Software Engineering.pdf","3","Métricas de produto","3","5","60.0"
"46","Empir Software Eng (2017) 22:579–630","Robust Statistical Methods for Empirical Software Engineering.pdf","4","Métricas de processo","3","5","60.0"
"46","Empir Software Eng (2017) 22:579–630","Robust Statistical Methods for Empirical Software Engineering.pdf","5","Métricas de projeto","3","5","60.0"
"46","Empir Software Eng (2017) 22:579–630","Robust Statistical Methods for Empirical Software Engineering.pdf","7","Identificação, organização e validação de métricas de software","3","7","42.9"
"46","Empir Software Eng (2017) 22:579–630","Robust Statistical Methods for Empirical Software Engineering.pdf","17","Análise de resultados de experimentos","3","6","50.0"
"49","Microsoft Word - Software Process Measurement and Related Challenges in Agile Software Developmen - A Multiple Case Study (Latest)","Software Process Measurement and Related Challenges in Agile Software Development A Multiple Case Study.pdf","4","Métricas de processo","3","5","60.0"
