"id","title","article_authors","cohort","year","arquivo","areas_pesquisa","metodologia","metricas_mencionadas","metodos_estatisticos","venue","venue_type","citations","num_referencias","n_references","alignment_score","alignment_nivel","temas_ementa","qtd_temas_ementa","max_score_relevancia","max_percentual_match","relacao_disciplina_proxy","alinhado_plano_proxy","replicabilidade_proxy","natureza_artigo_proxy","nivel_aluno_proxy","qualidade_proxy","prestige_score","pagerank_centrality","community_id","rubric_score","arqi_equal","arqi_pca","arqi_no_prestige","replicavel","pratico_teorico","nivel_aluno","agregou","relacao_disciplina","alinhado_plano","artigos_relacionados","sobreposicao_tematica_qtd","evidencias_extraidas","pendencias"
"1","A Conceptual Model to Support Teaching of Software Engineering Controlled (Quasi-)Experiments","","","2023","A Conceptual Model to Support Teaching of SoftwareEngineering Controlled (Quasi-)Experiments.pdf","Experimentação","Experimento Controlado; Survey/Questionário; Estudo Empírico","","","","conference","","30","30","","medio","Planejamento de experimento; Execução de experimento; Estratégias de experimentação; Processo de experimentação; Análise de resultados de experimentos; Apresentação de resultados experimentais","7","3","60.0","direta","sim","2-alta","misto","basico_intermediario","alta_proxy_local","","","","","","","","","","","","","","7:A Survey of Controlled Experiments; 29:Experimentation in Software Engineering","2","A Conceptual Model to Support Teaching of Software Engineering Controlled (Quasi-)Experiments Carlos D. Luz State University of Maringá (UEM) Maringá, PR, Brazil carlos.danilo.luz@gmail.com Edson OliveiraJr State University of Maringá (UEM) Maringá, PR, Brazil edson@din.uem.br Igor Steinmacher Northern Arizona University Flagstaff, AZ, USA igor.ste","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"2","Technical Report, Simula Research Laboratory, number 2011-13","","","2011","A Hitchhiker's guide to statistical tests for assessing randomized algorithms in software engineering.pdf","Teste de Software","Revisão Sistemática; Survey/Questionário","","Teste t; Mann-Whitney; Wilcoxon; ANOVA; Kruskal-Wallis; Regressão Linear; Effect Size; Fisher's Exact; Box Plot; Precisão/Recall/F1","","report","","110","110","","medio","Nivelamento e revisão de fundamentos de engenharia de software","1","2","33.3","indireta","sim","1-parcial","pratico_empirico","avancado","alta_proxy_local","","","","","","","","","","","","","","46:Empir Software Eng (2017) 22:579–630; 21:An External Replication on the Effects of Test-driven; 9:A Tale of Two Cities: Software Developers Working from; 24:Application of Statistical Methods in Software Engineering: Theory and; 38:Metrics for Evaluating and Improving Transparency in Software Engineer","5","Technical Report, Simula Research Laboratory, number 2011-13 A Hitchhiker’s Guide to Statistical Tests for Assessing Randomized Algorithms in Software Engineering1 Andrea Arcuri and Lionel Briand Simula Research Laboratory, P.O. Box 134, Lysaker, Norway. Email: {arcuri,briand}@simula.no Abstract Randomized algorithms have been used to successfully","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"3","A Large-Scale Empirical Study of AI-Generated Code in Real-World Repositories","Tianhao Mao; Dongfang Zhao; Haixu Tang; Xiaofeng Wang; Hang Zhang","","2026","A Large-Scale Empirical Study of AI-Generated Code in.pdf","Manutenção de Software; Inteligência Artificial/ML","Estudo Empírico","Complexidade Ciclomática","Mann-Whitney; Wilcoxon; Chi-quadrado; Correlação de Pearson; Effect Size","","conference","","43","43","","baixo","","0","0","0.0","nao_detectada","baixo","2-alta","misto","avancado","alta_proxy_local","","","","","","","","","","","","","","44:Quality of AI-Generated vs. Human-Generated Code; 38:Metrics for Evaluating and Improving Transparency in Software Engineer; 20:An Empirical Validation of Cognitive Complexity as a Measure of Source","3","A Large-Scale Empirical Study of AI-Generated Code in Real-World Repositories Tianhao Mao Indiana University Bloomington tianmao@iu.edu Dongfang Zhao Indiana University Bloomington zhaodo@iu.edu Haixu Tang Indiana University Bloomington hatang@iu.edu Xiaofeng Wang Nanyang Technological University xiaofeng.wang@ntu.edu.sg Hang Zhang Indiana Universi","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"4","A Quality Model-based Approach for Measuring User Interface Aesthetics with Grace","Mathieu Zen","","2023","A Quality Model-based Approach for Measuring UserInterface Aesthetics with Grace.pdf","Qualidade de Software","Survey/Questionário","Cohesion/Coesão","Regressão Linear; Descritiva; Precisão/Recall/F1","","","","106","106","","baixo","","0","0","0.0","nao_detectada","baixo","1-parcial","misto","avancado","media_proxy_local","","","","","","","","","","","","","","14:A preliminary GQM model to evaluate web API","1","172 A Quality Model-based Approach for Measuring User Interface Aesthetics with Grace MATHIEU ZEN, Université catholique de Louvain, Belgium NICOLAS BURNY, Université catholique de Louvain, Belgium JEAN VANDERDONCKT, Université catholique de Louvain, Belgium Charac- teristics Sub-char- acteristics ISO 25010 “Square” Software quality model 17 Measur","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"5","A Review and Analysis of Software Complexity Metrics in Structural Testing","","","","A Review and Analysis of Software Complexity Metrics in Structural Testing.pdf","Métricas de Software; Qualidade de Software; Manutenção de Software; Processo de Software","","LOC/SLOC; Complexidade Ciclomática; Function Points; Code Coverage; Halstead","Precisão/Recall/F1","","conference","","17","17","","medio","Métricas de processo; Métricas de produto; Métricas de projeto; Identificação, organização e validação de métricas de software; Processo de experimentação","5","3","60.0","direta","sim","0-nao_detectada","pratico_empirico","intermediario","media_proxy_local","","","","","","","","","","","","","","20:An Empirical Validation of Cognitive Complexity as a Measure of Source; 44:Quality of AI-Generated vs. Human-Generated Code; 64:Unveiling Hybrid Cyclomatic Complexity: A Comprehensive Analysis and E; 39:Metrics in Large-Scale Agile Software Development: A; 11:A Tool‐Based Perspective on Software Code Maintainability Metrics: A S","7","A Review and Analysis of Software Complexity Metrics in Structural Testing Mrinal Kanti Debbarma1, Swapan Debbarma2, Nikhil Debbarma2, Kunal Chakma2 and Anupam Jamatia2 1CSED, MNNIT, Allahabad, India,2CSED, NIT, Agartala, India {mkdb06,swapanxavier,ndbarma.csenita,kchax4377, anupamjamatia}@gmail.com","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"6","2-815-A Study on Software Metrics and its Impact on Software Quality.cdr","khalil","","","A Study on Software Metrics and its Impact on Software Quality.pdf","Métricas de Software; Qualidade de Software; Produtividade","Survey/Questionário","LOC/SLOC; Defect Density","Correlação de Pearson","","journal","","55","55","","medio","Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","4","2","40.0","indireta","sim","0-nao_detectada","pratico_empirico","basico_intermediario","alta_proxy_local","","","","","","","","","","","","","","18:A study of component based software system metrics","1","software market. So, the countries and the companies are investing more and more money, effort and time for the improvement of the software quality [2]. Without software development process knowledge, it is quite difficult or nearly impossible to achieve software quality. For good quality software defects, errors or bugs should be identified a","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"7","A Survey of Controlled Experiments","","","2002","A Survey of Controlled Experiments in Software Engineering..pdf","Métricas de Software; Manutenção de Software; Engenharia de Software Empírica; Experimentação","Experimento Controlado; Survey/Questionário; Estudo Empírico; Machine Learning; Replicação","","Correlação de Pearson","IEEE Transactions on Software Engineering","conference","","52","52","","alto","Planejamento de experimento; Execução de experimento; Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","14","4","80.0","direta","sim","1-parcial","misto","basico_intermediario","alta_proxy_local","","","","","","","","","","","","","","1:A Conceptual Model to Support Teaching of Software Engineering Control; 29:Experimentation in Software Engineering; 38:Metrics for Evaluating and Improving Transparency in Software Engineer; 62:Towards Improving Experimentation in Software Engineering","4","A Survey of Controlled Experiments in Software Engineering Dag I.K. Sjøberg, Member, IEEE Computer Society, Jo E. Hannay, Ove Hansen, Vigdis By Kampenes, Amela Karahasanovic, Nils-Kristian Liborg, and Anette C. Rekdal Abstract—The classical method for identifying cause-effect relationships is to conduct controlled experiments. This paper reports u","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"8","arXiv:1801.06475v1  [cs.SE]  19 Jan 2018","","","2018","A Systematic Review of Productivity Factors in Software Development.pdf","Produtividade","Revisão Sistemática","LOC/SLOC; Function Points","","","preprint","","31","31","","medio","Nivelamento e revisão de fundamentos de engenharia de software","1","2","33.3","indireta","sim","1-parcial","misto","basico_intermediario","alta_proxy_local","","","","","","","","","","","","","","","0","arXiv:1801.06475v1 [cs.SE] 19 Jan 2018 A Systematic Review of Productivity Factors in Software Development Stefan Wagner Technische Universit¨at M¨unchen Garching b. M¨unchen, Germany wagnerst@in.tum.de Melanie Ruhe Siemens AG Munich, Germany melanie.ruhe@siemens.com Abstract Analysing and improving productivity has been one of the main goals of","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"9","A Tale of Two Cities: Software Developers Working from","","","2021","A Tale of Two Cities Software Developers Working fromHome during the COVID-19 Pandemic.pdf","DevOps/CI-CD","Survey/Questionário; Estudo Empírico","Velocity","Mann-Whitney; Wilcoxon; Regressão Logística; Effect Size; Fisher's Exact; Descritiva; K-fold/Cross-validation","IST","journal","","71","71","","baixo","","0","0","0.0","nao_detectada","baixo","1-parcial","pratico_empirico","avancado","media_proxy_local","","","","","","","","","","","","","","2:Technical Report, Simula Research Laboratory, number 2011-13","1","27 A Tale of Two Cities: Software Developers Working from Home during the COVID-19 Pandemic DENAE FORD, Microsoft Research MARGARET-ANNE STOREY, University of Victoria THOMAS ZIMMERMANN and CHRISTIAN BIRD, Microsoft Research SONIA JAFFE, Microsoft Corp. CHANDRA MADDILA and JENNA L. BUTLER, Microsoft Research BRIAN HOUCK, Microsoft Corp. NACHIAPPAN","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"10","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in","ae","","2013","A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf","Engenharia de Software Empírica; Gerenciamento de Projetos; Processo de Software; Predição de Defeitos","","","Regressão Linear; Regressão Logística; Bayesiana; Random Forest; K-fold/Cross-validation; ROC/AUC","the 22nd Australasian Software Engineering","conference","","68","68","","medio","Métricas de processo; Processo de experimentação; Nivelamento e revisão de fundamentos de engenharia de software; Métricas de produto; Métricas de projeto; Processos e técnicas de medição","14","3","60.0","direta","sim","0-nao_detectada","misto","avancado","media_proxy_local","","","","","","","","","","","","","","","0","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in empirical software engineering, in Proceedings of the 22nd Australasian Software Engineering Conference (ASWEC2013). Melbourne, Australia, IEEE Computer Society Press, pp.97-106. doi:10.1109/ASWEC.2013.21 A Taxonomy of Data Quality Challenges in Empiri","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"11","A Tool‐Based Perspective on Software Code Maintainability Metrics: A Systematic Literature Review","","","2020","A Tool-Based Perspective on Software Code Maintainability Metrics A Systematic Literature Review.pdf","Métricas de Software; Manutenção de Software; DevOps/CI-CD; Segurança de Software","Revisão Sistemática","Code Coverage","Bayesiana; Box Plot; SVM; Precisão/Recall/F1","","conference","","73","73","","medio","Nivelamento e revisão de fundamentos de engenharia de software; Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","5","2","33.3","indireta","sim","2-alta","misto","intermediario","media_proxy_local","","","","","","","","","","","","","","5:A Review and Analysis of Software Complexity Metrics in Structural Tes","1","Review Article A Tool-Based Perspective on Software Code Maintainability Metrics: A Systematic Literature Review Luca Ardito ,1 Riccardo Coppola,1 Luca Barbato,2 and Diego Verga1 1Politecnico di Torino Department of Control and Computer Engineering Turin, Turin, Italy 2Luminem, Turin, Italy Correspondence should be addressed to Luca Ardito; luca.ar","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"12","A Large-Scale Empirical Study on Self-Admitted Technical Debt","Gabriele Bavota, Barbara Russo","","2016","A large-scale empirical study on self-admitted technical debt.pdf","Qualidade de Software; Manutenção de Software; Engenharia de Software Empírica; Dívida Técnica","Estudo Empírico; Replicação; Mineração de Repositórios","Coupling/Acoplamento; Technical Debt","Mann-Whitney; Correlação de Spearman; Descritiva; Box Plot","MSR","conference","","41","41","","medio","Nivelamento e revisão de fundamentos de engenharia de software; Métricas de produto; Métricas de processo; Métricas de projeto; Processos e técnicas de medição; Identificação, organização e validação de métricas de software","14","2","33.3","indireta","sim","2-alta","misto","intermediario","alta_proxy_local","","","","","","","","","","","","","","","0","A Large-Scale Empirical Study on Self-Admitted Technical Debt Gabriele Bavota, Barbara Russo Free University of Bozen-Bolzano, Bolzano, Italy {gabriele.bavota, barbara.russo}@unibz.it ABSTRACT Technical debt is a metaphor introduced by Cunningham to indicate “not quite right code which we postpone making it right”. Examples of technical debt are co","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"13","A machine learning approach to vulnerability detection combining software metrics and topic modelling: Evidence from smart contracts","Giacomo Ibba","","2014","A machine learning approach to vulnerability detection combining software.pdf","Métricas de Software; Inteligência Artificial/ML; Segurança de Software","Estudo de Caso; Machine Learning","Complexidade Ciclomática; Coupling/Acoplamento; Cohesion/Coesão","Regressão Logística; Bootstrap; Bayesiana; Random Forest; SVM; K-fold/Cross-validation; ROC/AUC; Precisão/Recall/F1","","journal","","112","112","","medio","Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","4","2","40.0","indireta","sim","2-alta","misto","avancado","media_proxy_local","","","","","","","","","","","","","","54:Source Code Metrics for Software Defects Prediction; 44:Quality of AI-Generated vs. Human-Generated Code; 40:On Wasted Contributions: Understanding the Dynamics; 20:An Empirical Validation of Cognitive Complexity as a Measure of Source","4","Contents lists available at ScienceDirect Machine Learning with Applications journal homepage: www.elsevier.com/locate/mlwa A machine learning approach to vulnerability detection combining software metrics and topic modelling: Evidence from smart contracts Giacomo Ibba a,b, Rumyana Neykova b, Marco Ortu a, Roberto Tonelli a, Steve Counsell b,","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
